internal_id,original_header,source_file,domain,organism,model_group,class,original_length,model_input_length,group_id,partition
seq_e884108ccc6e215a8d96,1,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,763b6fa0d2bfb196ce72,train
seq_3274bb350924d74ddd7e,2,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,bbcc820b0903924b37ec,test
seq_960c2ef62ea51757fa39,3,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,c5e182fb400c58d30ce8,test
seq_098896516ed26a75b7ea,4,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,bbce344077e3756bc991,test
seq_cfc7b442c36499e5f6f4,5,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5c0c55070051bc02346c,train
seq_8ec882c362e303a9bc76,6,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,9ac08099bd4d25b42d3c,train
seq_49c29db819d8ada2816f,7,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,10ae583bb02410283a5f,validation
seq_314512da80b5e484b8cd,8,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5a551b4c0a3defab6991,train
seq_340cefc7a3242023e28f,9,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,1e85b9e38c28e87f026b,train
seq_00a7452611d648c18509,10,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,84acb20b52d91d195c0a,test
seq_d91b614c7ca14a69d2ad,11,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,eae13cd3ff7446574ddd,train
seq_acc2d99dd061ef5ace0a,13,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,9db45b2fadefcbb5590b,test
seq_f362b03b0058a5e21c32,14,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b6c9dfd0a9f5f26a2880,train
seq_0a267e54b4fd372ba209,15,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,3f49d34c033f3b235fa4,train
seq_f82d52306502365052f3,16,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,a5026114f4e850dedcd7,train
seq_9f490108c7dcc85b5986,17,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,c4835303da6a267a86b3,train
seq_c738e88b577315729f69,18,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,36b6e0fc2cb6e2a150c0,train
seq_c038b3a0aac4d254145e,19,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,db5ab4b17b5e944fd98f,train
seq_1045d83a54b62e4d7f0c,20,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,e5b499d92684df5164c1,train
seq_ac0e415581d0b1e072b7,21,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,d3b75b469c34ff43959f,train
seq_a5eef8ed9914651324d2,22,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,ad4a2f12e0fc99fa0657,test
seq_e5b314ea3f1083af166e,23,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b538b179ae312c3385f3,train
seq_f435a4f5379f4814efb1,24,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,fff4153f44e9248847f3,train
seq_aaf4c4de20a67907f0c2,25,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,d778ac4738cd5e9927f1,train
seq_d0e11eee9872e6e4949e,26,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,6b885357773b0f600797,train
seq_440f0a2261c8d09660c9,27,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,e2c1221ea003e627b5f4,train
seq_8094a058b418fb10cb7b,28,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,5637a89bfe289fef3f28,test
seq_98e32b281f96d13650d3,29,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,309db0115c646b320c1a,test
seq_db04a678058d5c32d21e,30,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,8fe9ad2be2b2126b3280,train
seq_95a16ad460e831ede880,31,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,307ff3d61b5eee068d72,validation
seq_9204cfc03ba2832f3327,32,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,f060235ce28d3db92d7c,train
seq_8875e93598e2713d2e40,33,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,b581b7d5f7f7a607a80e,train
seq_773c841abaaf342fa7f5,34,data\3) finalized\Archaeal\Archaeal_non_promoter.fasta,archaea,Archaea_unspecified,archaea,non-promoter,100,100,a71225fb5b370af04e26,train
